0
"                환타지 소설을 워낙 좋아하지만 전천당은 정말 어린이부터 어른들까지 아우르는 힘이 있는 책이다. 전권을 구비해놓고 읽을 정도로 전천당 팬인데 이번 시간을 정말 재밌어서 단숨에 읽어버렸다. 유사품 베니코에 불량과자라니~ 상상력이 정말 놀랍다! 갖가지 새로운 아이템들과 새로운 사연의 손님들은 이번 전천당15권에서도 전체적 이야기를 이끌어가는 마법같은 역할을 한다. 살다가 언젠가 한번은 만나고픈 가게,전천당! 전천당의 새로운 에피소드가 만화로 나오기전에 책으로 먼저 읽어보는걸 적극 추천한다~                "
                새롭게 등장한 수상한 가짜 베니코손님들이 하나둘 아프기 시작하는데.......그 수상한 인물은 과연 누구일까 ??이번 이상한 과자 가게 전천당 15편은 라푼젤 프레첼 카드가 들어있었고요여러번 손님들이 찾은 제품이기도 하지요다양한 스토리와 과자들이 나와서 재미나고 신기합니다아이가 매번 기다리는 전천당 모든 권수를 다 모을 정도로 좋아합니다다음 권도 언제 나오는지 기다려지네요                
                ♡책소개♡책추천♡전천당15ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ전천당 주인인 베니코 흉내를 내고 다니는 가짜 베니코가 길거리를 다니면서 사람들에게 물건을 나누어주고  있어요그 물건을 먹고 사람들이 아프거나 아주 곤란해지는 상황이 벌어집니다과연 베니코를 흉내내고 다니는 사람은 누굴까요?ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ국내 누적 판매 170만 부 돌파한 베스트셀러 전천당15편이 이번에 출간되었어요.15편도 정말 흥미진진한 이야기네요.이번엔 전천당을 사칭해서 가짜 과자를 팔고 다니는 사람이 등장해요~~ 그래서 전천당에 대한 이미지가 나빠지고 있답니다.무슨일인지 넘 궁금하시죠?한번 구입해서 읽어보셔요!!초등저학년부터 고학년까지도 넘 재밌게 보는 전천당!!저희 아이도 재밌다고 단숨에 읽는답니다~~^^자세한 이야기는 하고싶지만..스포라서 직접 읽어보시는게낫지싶어서 말 아낄게요~~^^#책소개#책추천#협찬이지만 #찐후기#도서제공#서평#초등베스트셀러 #전천당15#전천당신간#길벗스쿨#신간책소개                
"                에그박사1, 2,3, 4,, 5, 6을 너무너무 재밌게 봤습니다.에그박사의 찐팬이 되었구요.이번에 에그박사7이 나와서반가운마음으로읽어봅니다.생생한 관찰 스토리에 더해 귀여운 생물 도감으로 펼쳐져요.《에그박사 7》은 인기 키즈 크리에이터 에그박사의원작 영상을 생생한 관찰 스토리와 귀여운 생물 도감으로재구성한 자연 생물 관찰 만화입니다.과학자, 철학가, 예술가의 눈으로 곤충의 삶을 관찰했던프랑스의 곤충학자 파브르의《곤충기》처럼에그박사의 눈으로 바라본 신비롭고 놀라운 자연 생물의 이야기가 가득하네요~^^.출판사에서 책을 제공받아 주관을 더해 쓴 글입니다.#에그박사 #에그박사시리즈 #학습만화                "
"                아이가 너무 기다렸는데 드디어 나왔어요.저희 아이는 이제 초1인데 진짜 에그박사 보며 동물이나,파충류, 물고기등등 다 배우는거 같아요.자연 학습책이나 동영상에서 대충 보았던 것들이 에그박사님편으로 학습 만화로 나오면 너무 크게 와닿으면서 재밌나 봐요.푹 빠져서 읽고 난후에 정신 없는 질문 공세가 쏟아져요.ㅠㅠ이번에는 조류 이야기들 이었습니다.앵무새에 관해서 알아보고,  그외에도 수리부엉이나 올빼미 독수리 이야기를 통해서 조류를 더 알아가고 사랑하게 된거 같아요.^^                "
                평소에 새에 관심이 많은 아이인데 각종 앵무새들의 특징과 울음소리와 행동으로 무엇을 말하는지 등등 여러가지 다양한 소개와 설명이 재미있는 만화그림으로 그려져있어서 아이들이 무척 재미있게 봅니다날카로운 부리와 발톱 맹금류에는 수리부엉이의 사냥연습과 야생동물을 살리는 방법등 생소한 이야기들도 잘 나와있어서 아이들의 호기심을 충족하는데 도움이 되는것 같습니다                 
                믿고 읽는 아울북 그리스 로마 신화아이들 학습 만화로 가장 유명한 시리즈가 아닐까 싶은데요.아이가 좋아해서 꾸준히 한 권씩 모으고 있어요.이제는 엄마 아빠보다 신화를 더 잘 아는 것 같아요.29권은 오디세우스의 험난한 모험입니다.트로이아 전쟁을 마친 오디세우스의 험난한 귀향길이 펼쳐져요.책을 읽으면서 흥미롭게 신화 이야기에 빠져 들고자연스럽게 인문학을 접하니 좋더라고요!학습 만화와 줄글로 된 권말 부록이 알차게 구성된 시리즈라서내용적인 면에서도 탄탄하고 유익하네요.신화 전문가인 서울대학교 김헌 교수님 감수로 믿고 읽어요.* 출판사로부터 도서를 무상 제공 받았습니다                
"                서양의 역사, 문화, 예술, 철학까지 배울수 있는 것,바로 그리스로마신화 인데요~그리스로마신화도 다양하게 만들어 나오고 있죠저의 선택은 바로 아울북의만화로 읽는 초등 인문학 그리스로마신화 입니다서울대학교 김헌 교수님이 감수한 학습만화로아이들이 읽기 편하게 만화로 구성되어무려 100만부를 돌파한 베스트셀러거든요~그리스로마신화에는 여러 신들과 영웅들이 등장하여매우 재미있는 이야기가 펼쳐지는데요아울북의 그리스로마신화는생동감넘치는 글과 그림에 절로 푹 빠져들게 한답니다이번 29편에서는 오디세우스의 험난한 모험을 다루고 있어요트로이아 전쟁을 마친 오디세우스가 집으로 돌아가면서 겪게되는 스토리가정말 어마어마합니다어쩜 그리 집으로 가는길이 멀고도 멀까요~~아쉽게도 이번편에서는 완성되지 않아서다음편을 기다릴수밖에 없었는데요이야기가 너무 재미있어서 그런지주인공 오디세우스의 험난한 귀향길을응원하면서 지켜보게 되더라구요만화를 다 읽은 후에는 신화속에 나오는 내용들에 대한 자세한 정보가 담겨있어서머릿속으로 정리하기도 참 좋았어요여러 인물들이 등장하는데 인물관계도를 통해빠르게 이해할수도 있었구요부록으로 '오디세우스의 집으로 가는길' 보드게임과인물카드가 들어있으니독후활동까지 재미있게 할수 있었네요아이들이 재미있게 볼수 있는 검증된 콘텐츠로하나하나 교양지식을 쌓을수 있는 어린이 베스트셀러초등인문학의 첫 시작!!아울북의 그리스로마신화로 방학동안 즐거운 독서 시작해보세요                "
"                첫째가 초등 4학년이다 보니아무래도 과학에 대한 책을 접하여도움이 된다면 더욱 만족스러운데요.카이스트 과학 영재 교육원 연구진기획 및 감수 책이면서흔한남매와 떠나는 과학대모험5 책이라아이가 더욱 재미있게 접할 수 있을 거 같아요.교과서를 통째로 넣은초등 과학 입문서의 결정판으로흔한남매 과학탐험대 책은과학을 처음 접하는아이들이 더욱 재밌게과학의 주요 내용을 미리 맛볼 수 있는 책이라초등학교 저학년 아이들에게도추천해 주고 싶은 책이랍니다.또한 최고의 과학 전문가들과 함께우주, 지구와 달, 우리 몸 정글 등을여행하며 쉽고 재미있게과학 지식을 배우는 건 물론,초등학교 과학 교과서의내용을 모두 담았다는 점에서 만족스러운데요.                "
"                주말이면 평소보다 더 일찍 일어나 엄마는 조금 더 자라고 이불을 덮어주며 다독이는 이유를 그때는 알지 못했다지금도 흔한남매에 얼광하는 아이의 마음을 이해할 수는 없지만, 인기있는 캐릭터를 주인공으로 한 굿즈나 연계 상품들이 꾸준히 나오는 것을 보면 영향력을 무시할 수는 없을듯하다""흔한남매가 등장하지 않아도 재미있는건 마찬가지 아냐?그건 아니지!흔한남매가 나오지 않아도 보긴 하겠지만 이렇게 재미있게 느껴지진 않을 것 같은데""모든 것은 양면이 있다!  흔한남매를 타이틀로한 과학 탐험대가 아이들의 눈길을 더 끌수 있는 것이라면,  그래서 몇 번을 봐도 재미있어 자꾸 찾게된다면 학습 만화로서의 역할은 충분하지않을까?날이 더워 밀면을 먹는데 막둥이가 하소연을 한다 ""엄마, 젓가락의 마찰력이 작아서  밀면을 먹기가 힘들어요! 마찰력이 작은 이유는 젓가락이 미끄럽고  둥글어서 그런거에요!!""오잉!! 이게 무슨 소리책을 읽은지 하루만에 평소와는 다른 이야기를 하는 아이의 모습을 보면서 '배움'이라는 것이 얼마나 값진 것인지 새삼 깨닫게된다(그동안은 밀면의 가격이나 대, 중,소 같은 한자에 관심이 많았거든요)학교에서 배우고 반복하고 해도 잊어버리거나 깨우치지  못하는 것이 태반인데 학습만화로 지식을 쌓는다면. . .생각만해도 웃음이난다얕은 지식이라고 낮출 필요도 없다 원래 알게되면 관심이 생기고 더 알고싶어지는게 당연한 일이므로!마음껏 읽으라고, 순번을 미뤄놓은 엄마지만 아이의 말에 명확한 답을 해주기 위해서라도 정독해야겠다는 생각을 하게 하는 흔한남매 과학탐험대이다차례만 봐도 아찔하다 '이런 내용을 언제 배웠었지?' 아련한 추억에 젖어드는데  중딩 아들의 리얼한 반응! ""내가 배운 내용이 다 나오네  왜 내가 어릴땐  이런 책이 없었던거야?""""증명이라도하듯 초등학교 과학 교과서는 물론 중학교에서 다루는 부분까지 꼼꼼하게 다루고 있음을 알 수 있는 교과 연계표예를 들어 설명해주는 것 만큼 좋은 방법이 없다 특히 우리의 일상생활과 관계가 있다면 더욱 그러하다놀이공원에서 즐겨 타는 놀이 기구들이 과학적인 원리를 적용해서 만들어진 것이라는 걸 알게되는 순간 과학에 한걸음 다가서게 되는 것이다재미가 있나보다벌써 내가 본 것만해도 몇번 째 읽는 것인지 모르겠다그래도 아쉬움이 남는지 6편은 없냐고 물어보고 앞서 나온 책들은 어떤건지 궁금해라하는 아들 녀석의 성화에 인근 도서관을 찾았다인기를 증명하기라도 하듯 다 대출이된 상태라 겨우 한 권 획득도서관에서 읽고도 성이 안차서 빌려와서는 집에서 여러 번 읽었다책이라는 것이, 특히 학습만화라는 것이 한 두 번 읽는다고 내용을 모두 파악할 수 없기에  여러 번 반복해서 읽을 수 있도록 만드는 능력이 중요하다그동안 다양한 종류의 학습만화를 봤지만 모든 책들을 이렇게 반복해서 읽는 것은 아니었다엄마의 시선에서는 그 이유를 정확하게 밝히기 어렵지만 되새김질하게 만드는 학습 만화엔 특별한게 있는듯하다책을 읽다가 막둥이가 말하던 젓가락의 마찰력 부분을 읽게 되었다'아이가 이 부분을 유심히 봤구나' 생각하니 더 자세히 들여다봐진다만화 내용을 보충하고 정리가 돋보이는 에이미의 교과서 플러스는  읽은 내용을 머릿속에 다지게 해준다깨알 재미가 있는 흔한 놀이터는 문제를 풀고 정답을 맞춘다는 성취감을 주는 요소이다책에 등장하는 과학용어들이 초등학교 저학년들에게는 쉽지 않을텐데 거부감없이 받아들이는,  오히려 그걸 알게 됐다는 것에 뿌듯해 하는 막둥이!이제 막둥이의 바람은 흔한남매 과학 탐험대1편부터 읽는 동안 6편이,  그리고 계속해서  흔한 남매 과학 탐험대가 출간되는 것이다!!★이벤트로 제공받은 협찬 도서입니다                "
